collision_failure_count,object_size_x,object_size_z,object_yaw_rad,object_volume_aabb
0,0.262154,0.065031,-2.539446,0.00165535
0,0.262154,0.065031,-1.334513,0.00165535
0,0.262154,0.065031,-1.758989,0.00165535
0,0.262154,0.065031,1.500443,0.00165535
0,0.262154,0.065031,2.869539,0.00165535
0,0.262154,0.065031,0.109588,0.00165535
0,0.262154,0.065031,-2.539446,0.00165535
0,0.262154,0.065031,-1.334513,0.00165535
0,0.262154,0.065031,-1.758989,0.00165535
0,0.314585,0.078038,1.127805,0.00286045
0,0.262154,0.065031,-0.220311,0.00165535
0,0.262154,0.065031,1.500443,0.00165535
0,0.262154,0.065031,1.721947,0.00165535
0,0.367016,0.091044,1.292391,0.00454229
0,0.262154,0.065031,0.109588,0.00165535
0,0.262154,0.065031,-2.134488,0.00165535
0,0.262154,0.065031,-2.539446,0.00165535
0,0.262154,0.065031,-1.334513,0.00165535
0,0.262154,0.065031,-1.758989,0.00165535
0,0.262154,0.065031,0.109588,0.00165535
0,0.262154,0.065031,-2.539446,0.00165535
0,0.262154,0.065031,-1.334513,0.00165535
0,0.262154,0.065031,-1.758989,0.00165535
1,0.262154,0.065031,1.500443,0.00165535
0,0.262154,0.065031,1.721947,0.00165535
0,0.262154,0.065031,2.869539,0.00165535
0,0.262154,0.065031,0.109588,0.00165535
0,0.262154,0.065031,-2.134488,0.00165535
0,0.262154,0.065031,-2.539446,0.00165535
1,0.262154,0.065031,-1.758989,0.00165535
0,0.262154,0.065031,-1.334513,0.00165535
0,0.262154,0.065031,2.869539,0.00165535
0,0.262154,0.065031,0.109588,0.00165535
0,0.262154,0.065031,-1.462692,0.00165535
1,0.262154,0.065031,-2.495191,0.00165535
0,0.262154,0.065031,0.3733,0.00165535
0,0.262154,0.065031,1.882219,0.00165535
0,0.314585,0.078038,-2.424883,0.00286045
0,0.262154,0.065031,-1.462692,0.00165535
1,0.314585,0.078038,2.487647,0.00286045
0,0.262154,0.065031,-2.495191,0.00165535
1,0.262154,0.065031,0.3733,0.00165535
0,0.262154,0.065031,-1.739806,0.00165535
0,0.262154,0.065031,-2.502331,0.00165535
0,0.262154,0.065031,-2.66581,0.00165535
0,0.314585,0.078038,-2.424883,0.00286045
0,0.262154,0.065031,0.595254,0.00165535
0,0.262154,0.065031,-1.462692,0.00165535
1,0.314585,0.078038,2.487647,0.00286045
0,0.367016,0.091044,0.370608,0.00454229
0,0.262154,0.065031,-2.495191,0.00165535
0,0.262154,0.065031,0.3733,0.00165535
0,0.262154,0.065031,-1.739806,0.00165535
0,0.262154,0.065031,1.882219,0.00165535
0,0.314585,0.078038,-2.424883,0.00286045
1,0.262154,0.065031,-1.462692,0.00165535
1,0.314585,0.078038,-2.424883,0.00286045
1,0.262154,0.065031,-1.462692,0.00165535
1,0.262154,0.065031,-2.495191,0.00165535
0,0.262154,0.065031,0.3733,0.00165535
0,0.262154,0.065031,-0.137465,0.00165535
0,0.262154,0.065031,-1.55735,0.00165535
0,0.262154,0.065031,2.506974,0.00165535
0,0.262154,0.065031,-2.048692,0.00165535
0,0.262154,0.065031,-0.137465,0.00165535
0,0.262154,0.065031,-1.55735,0.00165535
0,0.262154,0.065031,0.939337,0.00165535
0,0.262154,0.065031,1.619019,0.00165535
0,0.262154,0.065031,2.139683,0.00165535
0,0.367016,0.091044,-2.28351,0.00454229
0,0.367016,0.091044,-2.996532,0.00454229
0,0.262154,0.065031,2.506974,0.00165535
0,0.314585,0.078038,-0.096389,0.00286045
0,0.262154,0.065031,-1.243434,0.00165535
0,0.262154,0.065031,-2.048692,0.00165535
0,0.314585,0.078038,-0.096389,0.00286045
0,0.262154,0.065031,-0.137465,0.00165535
0,0.262154,0.065031,-1.55735,0.00165535
0,0.367016,0.091044,-2.28351,0.00454229
0,0.367016,0.091044,-2.996532,0.00454229
0,0.262154,0.065031,2.506974,0.00165535
0,0.314585,0.078038,-0.096389,0.00286045
0,0.262154,0.065031,-1.243434,0.00165535
0,0.262154,0.065031,-2.048692,0.00165535
0,0.262154,0.065031,-0.137465,0.00165535
0,0.314585,0.078038,-0.506803,0.00286045
0,0.262154,0.065031,1.619019,0.00165535
0,0.262154,0.065031,-1.55735,0.00165535
0,0.262154,0.065031,2.506974,0.00165535
0,0.314585,0.078038,-0.096389,0.00286045
0,0.262154,0.065031,-2.048692,0.00165535
0,0.262154,0.065031,-0.606865,0.00165535
0,0.262154,0.065031,-0.464411,0.00165535
0,0.262154,0.065031,1.558319,0.00165535
0,0.262154,0.065031,-1.992769,0.00165535
0,0.262154,0.065031,-0.725803,0.00165535
0,0.262154,0.065031,-0.606865,0.00165535
0,0.262154,0.065031,-0.464411,0.00165535
0,0.314585,0.078038,-1.294768,0.00286045
0,0.314585,0.078038,-1.008989,0.00286045
0,0.262154,0.065031,-0.368918,0.00165535
0,0.314585,0.078038,1.743997,0.00286045
0,0.314585,0.078038,0.35758,0.00286045
1,0.262154,0.065031,-1.374383,0.00165535
0,0.262154,0.065031,-0.725803,0.00165535
0,0.262154,0.065031,-0.464411,0.00165535
0,0.314585,0.078038,-1.294768,0.00286045
0,0.314585,0.078038,1.743997,0.00286045
0,0.262154,0.065031,-1.992769,0.00165535
0,0.314585,0.078038,1.743997,0.00286045
0,0.262154,0.065031,-0.606865,0.00165535
0,0.262154,0.065031,-0.464411,0.00165535
0,0.314585,0.078038,-1.294768,0.00286045
0,0.262154,0.065031,-0.368918,0.00165535
0,0.314585,0.078038,1.743997,0.00286045
0,0.262154,0.065031,-1.992769,0.00165535
0,0.314585,0.078038,0.35758,0.00286045
0,0.367016,0.091044,-0.31504,0.00454229
0,0.262154,0.065031,-1.374383,0.00165535
0,0.314585,0.078038,2.000326,0.00286045
0,0.262154,0.065031,-0.725803,0.00165535
0,0.314585,0.078038,-1.008989,0.00286045
1,0.262154,0.065031,-1.992769,0.00165535
0,0.262154,0.065031,-0.725803,0.00165535
0,0.262154,0.065031,-0.606865,0.00165535
0,0.314585,0.078038,-1.294768,0.00286045
0,0.262154,0.065031,-1.992769,0.00165535
0,0.314585,0.078038,0.35758,0.00286045
0,0.314585,0.078038,2.000326,0.00286045
0,0.262154,0.065031,-0.725803,0.00165535
0,0.262154,0.065031,0.618381,0.00165535
0,0.262154,0.065031,0.410806,0.00165535
0,0.262154,0.065031,-2.73537,0.00165535
0,0.262154,0.065031,1.773342,0.00165535
0,0.262154,0.065031,-1.366215,0.00165535
0,0.262154,0.065031,0.618381,0.00165535
0,0.314585,0.078038,-0.435561,0.00286045
0,0.262154,0.065031,0.410806,0.00165535
0,0.314585,0.078038,-0.252203,0.00286045
0,0.262154,0.065031,2.009728,0.00165535
0,0.262154,0.065031,-2.099327,0.00165535
0,0.262154,0.065031,-2.73537,0.00165535
0,0.262154,0.065031,1.773342,0.00165535
0,0.262154,0.065031,0.419249,0.00165535
0,0.262154,0.065031,-1.366215,0.00165535
